日期,灵茶山艾府选题,难度,标签,思考记录,柯南选题,难度,标签,思考记录,备注
5/18,"CF1148E-Earth Wind and Fire

给两个序列 A B，每次操作从 A 中选择一个数，减去一部分值加到另一个数上，求使 A 变成 B 的具体操作。
",2300,思维,"因为是一个数减，一个数加，那么总和是不变的，所以先判断两个数组的和是不是一样，然后把a分成两部分，一部分少的，一部分多的。然后多的补给少的就完事了。
但题目有个限制，互补的时候少的那个数量一定要比多的那个数量小。这是我一开始没考虑到的，所以wa了好多发。
然后我想到的是把少的那部分按照个数排序，多的那部分按照个数排序，然后取两部分最小的进行检查并且互换。但这样也是不对的。因为会导致多的那部分的最小值变得很小，导致它后续不能和其他的进行互换。所以得取少的那部分比它小的最大的那个和他换。

0x3F 补充：
我一开始想的是用最大的补最小的，但是后来构造出了个反例：
1 3  9 11
2 2 10 10
这样 1 和 11 补完之后，3 和 9 就没法补了。
后来想到补完之后相对顺序是不变的。
这样可以用栈来维护。
","1379D-New Passenger Trams

环形区间覆盖最多/最少点问题",2300,"扫描线
排序+双指针","1. 一开始想的是求补集，转换成最多覆盖，前缀和之类的；
2. 然后发现「货车被覆盖」可以转换成一段区间，就转换成了扫描线问题；
3. 求扫描线上最小的货车个数就是答案。

其实我想复杂了，本质上是一个区间覆盖点的问题。
但从另一个角度看，上面的算法本质上就是一种双指针。这个模型可能对于某些条件更容易思考。

",
5/19,"CF610D-Vika and Segments

若干宽为 1 的矩形的面积并

本质是求若干线段的交点个数",2300,扫描线,"思路很显然，首先根据x坐标进行排序，然后维护当前时刻所覆盖的y坐标的区间长度，然后以两个点x坐标的差乘当前总区间长度就是这个区间的贡献。那么需要一个区间修改，区间查的一个数据结构，也就是线段树。
思考的时候一开始就想到了它的本质其实就是求长方形面积，也就是线段树的一个经典题型。写的时候线段树的每个点的状态没有想清楚，它应该表示的是该点到下一个点之间的距离，但是我写的维护的是这个线段对应的坐标之间的距离。
假如现在有4个点 1 10 13 20， 那么线段[1,2]应该表示的是1到13的距离，也就是13 - 1 = 12.但是我表示的是10 - 1 = 9.那么这个时候我的递推则会有问题，如[1,4] = [1, 2] + [3, 4] = 10 - 1 + 20 - 13 = 16.但是正确答案应该是[1, 4] = [1, 2] + [3, 4] = 13 -1 + 7 = 19.
所以这个题的正确思路应该是首先把块的坐标转换成线坐标，然后套板子就完事了。写的时候要注意两个地方，
for (int i = 1; i <= ncnt; i++) {
                ans += 1LL * res[1] * (1LL * nodes[i].x - lxtx);
                // debug(nodes[i].x, nodes[i].y1, nodes[i].y2, nodes[i].flag, ans);

                int lidx = lower_bound(yy + 1, yy + 1 + ycnt, nodes[i].y1) - yy;
                int ridx = lower_bound(yy + 1, yy + 1 + ycnt, nodes[i].y2) - yy;
                ridx--; //右坐标需要减1. 
                // debug(lidx, ridx);

                update(lidx, ridx, nodes[i].flag, 1, ycnt, 1);
                // debug(res[1]);
                lxtx = nodes[i].x;
        }
void push_up(int rt, int l, int r) {
        if (cnt[rt] > 0) {
                res[rt] = yy[r + 1] - yy[l]; //根据 yy[r+1]递推过来
                return;
        }
        res[rt] = res[rt << 1] + res[rt << 1 | 1];
}
","1342E-Placing Rooks

N*N 棋盘放 N 个车，要求所有空地都被攻击到，且有 k 对车互相攻击，求方案数。
",2300,容斥,"没想明白，看题解是一个容斥的过程。

题解的容斥就是单个 S2(n,k) 的计算公式……

另一种思路是把 n 个棋子放入 n-k 列中。不同的列可以看成不同的盒子，方案数为 A(n,n-k)*S2(n,n-k)。
",
5/20,"CF429C-Guess the Tree

75/694=10.8%

有一颗不超过 24 个点的树，除叶节点外的节点都至少有两个孩子。
已知所有子树的大小，问这样的树是否存在？",2300,搜索+剪枝,看完题后模拟了几个例子，发现其实就是找对于当前val来说，看数组中是否存在不少于两个的数的和等于val-1.但我没办法证明对于当前val拿完数之后的结果没有后效性，即不会影响后面数的构造。,"CF1371E2-Asterism (Hard Version)

给 n 个怪的能力和一个数 p，可以战胜能力值不大于你能力值的怪，每战胜一个怪能力值就加一。
定义 f(x) 为初始能力值为 x 时，能战胜所有怪物的怪物排列方案数。
求所有的 x，使 f(x) 不被 p 整除。

",2300,"组合数学
上下界分析","1. 注意到 f(x) 是单调递增的
2. 在某个范围内，f(x) 都是 good，范围外都 not good
3. 转换成求上下界
4. 下界根据 x+i>=a[i] 来求，即打败一个怪前必须有 x+i 个糖果
5. 上界则需要保证，对于每个 i>=p-1 的 a[i]，其对应的位置 i-p+1 的糖果个数不能>=a[i]，否则此刻在 i-p+1 位置上能选到至少 p 个怪物。那么后续肯定存在一个时刻可以选到 p 个怪物。也就是说需要满足 x+i-p+1<a[i]

注：对于任意超过上界的 x，在某个时刻必定会存在可以选择 p 个怪物的情况",
5/21,"CF708C-Centroids

202/589=34.3%

给一颗树，你可以断掉最多一条边，链接到另外两个节点上，使新图仍然是一棵树。

问哪些点可以是新树的重心？",2300,"重心
换根 DP","学习了一下重心的性质，其中有一个就是一个点的子树的size不超过n/2，那么回到这一题，如果想使u为重心，有两种情况，一种是如果它的子树size都不超过n/2，那么已经满足条件了。第二种情况是有一颗子树的size_a是超过n/2，那么我需要找到这棵子树的子树，它的size_b要小于n/2，并且要尽可能的大，把它拿走之后，这棵子树的size就变成了size_a - size_b,那么判断size_a - size_b 是否小于 n/2 就行了。

其实就是对于每个节点要维护一个东西，即这个节点的子树下，size 不超过 n/2 的最大size是多少就完事了。","CF1007B-Pave the Parallelepiped

112 / 542 = 20.6%

给三个数，从中各选一个因子，求形成的无序 (a,b,c) 元组数",2400,"数论
容斥
组合数学","1. 把属于 A B C 的因子分为 7 种
2. 用容斥计算出各自数量
3. 枚举选这 7 种的不同组合情况，每种合法情况计算组合数",
5/22,"CF995C-Leaving the Bar

135/443=30.5%

给 n 个模长不超过 1e6 的向量，每个向量可以取反，要使所有向量之和的模长不超过 1.5e6，哪些向量要取反？",2300,随机化,"画了一下发现很难卡掉随机打乱后的数据。
那么随机打乱后贪心。","CF1137D-Cooperative Game

98/470 = 20.8%

交互题：Floyd 判圈，定位起点",2400,Floyd 判圈,"根据 Floyd 判圈算法求解。

这题有趣的地方在于操作数的上界的证明。
",
5/23,"CF901C-Bipartite Segments

138/495=27.9%

给一个只有偶环的无向图，每次查询 [l,r] 有多少个子区间，使子区间内的顶点形成的是一个二分图",2300,"仙人掌 DFS
前缀和
二分",在仙人掌上 DFS，求出每个环的最小最大节点，视作一条线段，然后转换成子区间不包含任意线段的问题,"CF1442C-Graph Transpositions

291/930=31.2%

有向图，边权为 1，翻转整个图的开销是 2^(k-1)，k 为翻转次数
问 1 到 n 的最短路",2400,"01 BFS
分层图最短路","先用 01 BFS 求出到每个点的最少翻转次数
基于此，可以将分层图的空间复杂度优化至 O(20n)",
5/24,"CF558E-A Simple Task

给一个字符串，执行 1e5 次操作，每次操作选择一个子串以升序或降序排序，输出最终字符串",2300,线段树,"首先思考为什么题会给字符串，而不是整数数组。容易发现字符串其实只有26个数，那么只需要考虑一个区间里26个数的值分别是多少就行了。
","CF1004D-Sonya and Matrix

一个矩阵中的 a[i][j] 是根据 (i,j) 到矩阵中的某个点 (x,y) 的曼哈顿距离求出的，给出矩阵中的所有值，求出矩阵宽高以及 x 和 y",2300,想法题,"枚举宽高，
根据最后一个符合 4*i 的频数来确定 x
根据最大值来确定 y",
5/25,"CF891C-Envy

127/440=28.9%

给定一个带权无向图，每次询问指定若干个边，问这些边能不能全部放到MST里",2300,最小生成树性质,"MST有两个性质
1. 对于任意权值，最小生成树中这种权值的边数是一定的.
2. 对于任意权值，把小于它的权值的边加到MST里后的连通性是一定的

那么在第一次求MST的时候，先根据第2个性质算出每条边在加之前的图的连通性。然后在每次询问的时候，只需要看边的两点的是否已经联通就行了。","CF1483D-Useful Edges

251/891=28.2%

给定一个图，以及q个tuple(u,v,w),对于一个tuple来说，从u到v经过的edge的边权和小于等于w，那么经过的边是有用的，问有用的边的个数",2400,最短路，思维,"很容易想到如果边(x,y)对于tuple(a,b,l)合法，那么dis(a,x) + eg(x, y) + dis(y, b)<= l

枚举x,y,a,b可以做，但是n^4会超时。

一个巧妙的枚举方式是枚举a,y，那么 dis(a,x) 和 eg(x, y) 都是关于x的方程，dis(y,b) 和 l(a, b) 是关于b的方程。
那么首先枚举b，找到 dis(y, b) - l(a, b) 的最小值mi，然后枚举x，找到dis(a,x) + eg(x, y) + mi <= 0 的方案数。
这样就变成了n^3.",
5/26,"CF547C-Mike and Foam

189/1026=18.4%

给定一个数组，有一个集合S，最开始S为空，每次询问给定一个下标idx，如果下标在S里，就把它删掉，如果不在，就把它加进去，每次询问返回集合S里gcd=1的点对数",2300,"gcd，容斥，套路
莫比乌斯函数","求集合里和 x 互质的数的个数=总个数-和 x 不互质的数的个数。

那么转换成求和 x 不互质的数的个数了，这是一个经典的容斥问题。
即： 求出与x至少有一个相同的质因子 - 与x至少有二个相同的质因子 + 与x至少有三个相同的质因子 。。。

5e5 < 2⋅3⋅5⋅7⋅11⋅13⋅17, 即最多有7个质因子，那么枚举(1<<7)个状态就行了。","CF1473E Minimum Path

给定一个图，u到v的最短路表示为备注所示的函数
求1到其余点的最短路",2400,分层图最短路,"1. 分成四层，分别表示原图、不算最大值、额外再算一遍最小值、不算最大值且额外再算一遍最小值
2. 从第一层到第四层就是要求的最短路
3. 即便当前的边不是最小或最大，后面转移的时候也会覆盖掉",
5/27,"CF1276C - Beautiful Rectangle

283/647=43.7%

给 4e5 个数，请你选出尽可能多的数，填满一个矩阵，且矩阵每行每列不能有重复数字",2300,构造,"1. 枚举矩形宽，高<=宽
2. 矩形内元素个数最大值不能超过高
3. 因此需要事先统计元素个数，求最大宽*高时，可以按个数从小到达扫，累加合法值

        for h, s, i := 1, 0, 0; ; h++ {
                s += len(cv) - i
                w := s / h
                if w < h {
                        break
                }
                if h*w > mxH*mxW {
                        mxH, mxW = h, w
                }
                for ; i < len(cv) && cv[i].c <= h; i++ {
                }
        }","CF1468M Similar Sets

给 n 个集合，每个集合至少两个元素，共 2e5 个元素。
问是否有两个集合的交集大小至少为 2？",2300,"分块思想
四元环","分块做法：
有两种暴力枚举的做法：
1. 暴力枚举一个set，然后枚举其他set看是否有两个值一样。这个的复杂度为 O(点总个数*set个数)
2. 枚举点对，看是否有一组点对属于两个set。这个复杂度为O(点对个数)

当set元素个数>sqrt(m)用第一种，那么复杂度为O(m*sqrt(m)),这时候我们考虑的情况有大set和大set的交，大set和小set的交。唯独没有考虑到的是小set和小set的交。那么小set和小set的交再用第二种方法搞，那么复杂度同样也不会超过O(m*sqrt(m))

四元环：
https://blog.csdn.net/weixin_43466755/article/details/112985722",
